"GEO_ID","NAME","B19001_001E","B19001_001M","B19001_002E","B19001_002M","B19001_003E","B19001_003M","B19001_004E","B19001_004M","B19001_005E","B19001_005M","B19001_006E","B19001_006M","B19001_007E","B19001_007M","B19001_008E","B19001_008M","B19001_009E","B19001_009M","B19001_010E","B19001_010M","B19001_011E","B19001_011M","B19001_012E","B19001_012M","B19001_013E","B19001_013M","B19001_014E","B19001_014M","B19001_015E","B19001_015M","B19001_016E","B19001_016M","B19001_017E","B19001_017M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than $10,000","Margin of Error!!Total!!Less than $10,000","Estimate!!Total!!$10,000 to $14,999","Margin of Error!!Total!!$10,000 to $14,999","Estimate!!Total!!$15,000 to $19,999","Margin of Error!!Total!!$15,000 to $19,999","Estimate!!Total!!$20,000 to $24,999","Margin of Error!!Total!!$20,000 to $24,999","Estimate!!Total!!$25,000 to $29,999","Margin of Error!!Total!!$25,000 to $29,999","Estimate!!Total!!$30,000 to $34,999","Margin of Error!!Total!!$30,000 to $34,999","Estimate!!Total!!$35,000 to $39,999","Margin of Error!!Total!!$35,000 to $39,999","Estimate!!Total!!$40,000 to $44,999","Margin of Error!!Total!!$40,000 to $44,999","Estimate!!Total!!$45,000 to $49,999","Margin of Error!!Total!!$45,000 to $49,999","Estimate!!Total!!$50,000 to $59,999","Margin of Error!!Total!!$50,000 to $59,999","Estimate!!Total!!$60,000 to $74,999","Margin of Error!!Total!!$60,000 to $74,999","Estimate!!Total!!$75,000 to $99,999","Margin of Error!!Total!!$75,000 to $99,999","Estimate!!Total!!$100,000 to $124,999","Margin of Error!!Total!!$100,000 to $124,999","Estimate!!Total!!$125,000 to $149,999","Margin of Error!!Total!!$125,000 to $149,999","Estimate!!Total!!$150,000 to $199,999","Margin of Error!!Total!!$150,000 to $199,999","Estimate!!Total!!$200,000 or more","Margin of Error!!Total!!$200,000 or more"
"1500000US170318241222","Block Group 2, Census Tract 8241.22, Cook County, Illinois","929","107","19","30","11","18","15","23","67","57","11","17","96","78","61","51","11","19","50","48","62","45","67","51","162","93","49","47","99","60","136","82","13","22"
"1500000US170318241223","Block Group 3, Census Tract 8241.22, Cook County, Illinois","668","91","0","11","0","11","0","11","20","30","20","32","14","23","0","11","27","30","0","11","25","38","16","26","42","41","125","63","124","81","136","73","119","81"
"1500000US170318241231","Block Group 1, Census Tract 8241.23, Cook County, Illinois","294","77","0","11","0","11","0","11","0","11","27","31","0","11","0","11","0","11","18","30","63","52","20","32","29","32","90","74","11","18","36","42","0","11"
"1500000US170318241232","Block Group 2, Census Tract 8241.23, Cook County, Illinois","853","136","38","36","29","34","65","82","30","36","46","44","64","92","0","11","72","51","33","40","61","50","74","46","108","82","60","64","20","34","130","73","23","26"
"1500000US170318241233","Block Group 3, Census Tract 8241.23, Cook County, Illinois","740","136","22","25","14","23","37","60","38","33","34","43","31","38","0","11","61","76","12","20","18","29","78","57","183","109","21","24","47","45","121","61","23","27"
"1500000US170318241234","Block Group 4, Census Tract 8241.23, Cook County, Illinois","456","104","74","75","0","11","53","62","13","21","0","11","30","36","32","38","12","18","14","24","32","41","95","68","17","28","14","21","33","41","37","39","0","11"
"1500000US170318241235","Block Group 5, Census Tract 8241.23, Cook County, Illinois","422","117","0","11","0","11","0","11","13","23","17","27","12","20","12","19","0","11","0","11","14","24","28","34","152","89","72","82","12","21","48","60","42","65"
"1500000US170318243001","Block Group 1, Census Tract 8243, Cook County, Illinois","343","86","56","48","20","32","78","53","0","11","27","28","20","32","21","23","10","16","6","9","0","11","29","23","30","28","19","19","27","31","0","11","0","11"
"1500000US170318243002","Block Group 2, Census Tract 8243, Cook County, Illinois","784","162","199","111","95","66","50","43","8","14","41","31","35","35","15","17","62","56","9","16","65","54","113","70","72","46","20","23","0","11","0","11","0","11"
"1500000US170318243003","Block Group 3, Census Tract 8243, Cook County, Illinois","496","127","139","77","36","27","17","20","101","65","0","11","30","45","0","11","8","12","16","20","16","18","58","56","51","64","7","10","9","15","8","17","0","11"
"1500000US170318244001","Block Group 1, Census Tract 8244, Cook County, Illinois","874","100","77","48","91","60","89","51","81","51","75","43","32","33","40","24","27","23","39","26","35","21","93","48","107","56","40","24","31","35","10","11","7","11"
"1500000US170318245031","Block Group 1, Census Tract 8245.03, Cook County, Illinois","541","126","0","11","0","11","16","26","82","109","0","11","21","33","90","101","0","11","13","21","98","93","73","72","148","99","0","11","0","11","0","11","0","11"
"1500000US170318245032","Block Group 2, Census Tract 8245.03, Cook County, Illinois","626","130","15","24","19","31","69","84","0","11","44","36","25","39","36","41","15","24","31","35","108","92","91","63","51","49","83","86","21","32","18","29","0","11"
"1500000US170318245033","Block Group 3, Census Tract 8245.03, Cook County, Illinois","486","97","0","11","0","11","15","24","36","39","0","11","12","20","37","42","21","35","16","25","57","51","70","49","115","74","28","34","28","33","28","33","23","36"
"1500000US170318245034","Block Group 4, Census Tract 8245.03, Cook County, Illinois","616","102","0","11","0","11","31","35","19","32","0","11","0","11","54","50","0","11","18","28","14","22","36","43","35","33","70","47","59","56","54","41","226","81"
"1500000US170318245035","Block Group 5, Census Tract 8245.03, Cook County, Illinois","813","159","135","120","20","32","13","23","18","29","21","32","26","41","36","43","14","24","33","39","75","76","227","127","59","45","28","30","61","40","29","32","18","28"
"1500000US170318245051","Block Group 1, Census Tract 8245.05, Cook County, Illinois","1326","168","54","52","81","63","22","36","0","11","36","45","61","66","0","11","99","74","103","66","144","135","32","35","292","181","215","107","50","51","137","105","0","11"
"1500000US170318245052","Block Group 2, Census Tract 8245.05, Cook County, Illinois","562","115","17","26","0","11","24","38","25","32","13","21","16","25","0","11","20","33","14","22","13","19","67","48","20","29","150","90","92","71","59","60","32","40"
"1500000US170318245053","Block Group 3, Census Tract 8245.05, Cook County, Illinois","662","133","39","43","0","11","44","49","0","11","0","11","34","54","0","11","12","21","4","12","26","51","40","30","204","97","57","40","146","94","22","33","34","40"
